題號,題幹,選項,正解,圖片檔名
2,顯微鏡為精密儀器，適當的清潔與維護是重要的。有關顯微鏡的清潔維護，下列何者錯誤？,"{'A': 'A. 清潔鏡頭只能用高品質的拭鏡紙及特定的清潔品', 'B': 'B. 在任何情況下，鏡頭都不能使用酒精做擦拭', 'C': 'C. 操作完畢後，浸油的鏡片要擦拭乾淨', 'D': 'D. 顯微鏡不用時，應將低倍物鏡轉至觀察位置，載物台應移至中間'}",B,Q002.jpg
3,腎臟藉由下列何種作用以保存過濾液中的營養素？,"{'A': 'A. 過濾', 'B': 'B. 再吸收', 'C': 'C. 分泌', 'D': 'D. 濃縮'}",B,Q003.jpg
4,關於尿試紙測尿糖原理的敘述，下列何者錯誤？,"{'A': 'A. 尿試紙檢測的試劑含有葡萄糖還原酶，因此對葡萄糖有專一性', 'B': 'B. 結果以半定量呈現', 'C': 'C. 尿中維生素C大於50 mg/dL可造成偽陰性結果', 'D': 'D. 只能測葡萄糖'}",D,Q004.jpg
5,以Clinitesi錠劑法檢測尿糖時，下列敘述何者正確？,"{'A': 'A. 過程需要用火加熱', 'B': 'B. 不需留意尿中是否有抗生素干擾反應結果', 'C': 'C. 靈敏度比尿試紙法差', 'D': 'D. 適用於檢測所有糖類'}",A,Q005.jpg
6,關於尿試紙上附有重氮鹽試劑之檢驗項目，下列組合何者正確？,"{'A': 'A. 尿膽素原、亞硝酸鹽', 'B': 'B. 葡萄糖、酮體', 'C': 'C. 膽紅素、亞硝酸鹽', 'D': 'D. 膽紅素、白血球酯酶'}",C,Q006.jpg
7,下列何種尿試紙檢測項目主要是利用Ehrlich’s reaction的原理？,"{'A': 'A. 蛋白質', 'B': 'B. 膽紅素', 'C': 'C. 尿膽素原', 'D': 'D. 亞硝酸鹽'}",C,Q007.jpg
8,下列何者常用來校正尿液稀釋或濃縮的狀態，以減少尿蛋白檢測的誤差？,"{'A': 'A. 尿素', 'B': 'B. 氯化鈉', 'C': 'C. 肌酸酐', 'D': 'D. 比重'}",C,Q008.jpg
9,有關iQ200與UF-1000i自動化尿液分析儀器偵測尿液細胞之敘述，下列何者正確？,"{'A': 'A. 二者皆需要染色', 'B': 'B. 二者皆不需要離心檢體', 'C': 'C. iQ200需要離心檢體，UF-1000i不需要離心檢體', 'D': 'D. iQ200需要染色，UF-1000i不需要染色'}",D,Q009.jpg
10,尿液檢體在室溫中放置過久，下列何種成分會減少？,"{'A': 'A. 無定形磷酸鹽結晶', 'B': 'B. 細菌', 'C': 'C. 葡萄糖', 'D': 'D. 亞硝酸鹽'}",C,Q010.jpg
11,以尿液試紙法篩檢尿蛋白呈陽性後，需用下列何種檢驗方法再做確認診斷？,"{'A': 'A. Benedict’s test', 'B': 'B. Nitroprusside test', 'C': 'C. Clinitest', 'D': 'D. 3% SSA test'}",D,Q011.jpg
12,人體每天大約有9000 mL的水分進入消化道，最後大腸再吸收；正常情況下大腸再吸收水分的最大量是多少mL？,"{'A': 'A. 150', 'B': 'B. 500', 'C': 'C. 1500', 'D': 'D. 30'}",C,Q012.jpg
13,使用放射性同位素進行胃腸出血的定量，乃利用下列何者，故優於糞便的潛血試驗？,"{'A': 'A. 鉻（chromium）-51', 'B': 'B. 鐵（ferric）-26', 'C': 'C. 碳（carbon）-14', 'D': 'D. 氧（oxygen）-18'}",A,Q013.jpg
14,有關糞便檢體採集的敘述，下列何者錯誤？,"{'A': 'A. 檢體採集後，應該儘快送檢', 'B': 'B. 液態糞便如不能立即送檢，可冷藏置放，隔日送檢', 'C': 'C. 檢體不可以污染到尿液', 'D': 'D. 可添加固定液以助寄生蟲卵形態的檢查'}",B,Q014.jpg
15,糞便進行總脂肪鏡檢時，須加入下列何者後再加熱，可使中性脂肪及皂（soap）水解成脂肪酸？,"{'A': 'A. Sudan III', 'B': 'B. 95% ethyl alcohol', 'C': 'C. 36% acetic acid', 'D': 'D. 1% sodium hydroxide'}",D,Q015.jpg
16,支氣管肺泡灌洗液進行白血球分類檢查，嗜中性白血球占50%以上與下列何者最不相關？,"{'A': 'A. 過敏反應性肺炎', 'B': 'B. 急性肺損傷', 'C': 'C. 吸入性肺炎', 'D': 'D. 化膿性感染'}",A,Q016.jpg
17,下列何者為痰液的心臟衰竭細胞？,"{'A': 'A. 含有血鐵質的口噬細胞', 'B': 'B. 含有碳粒的口噬細胞', 'C': 'C. 聚集成團的柱狀支氣管上皮細胞', 'D': 'D. 聚集成團的柱狀支氣管上皮細胞'}",A,Q017.jpg
18,有關顱內出血腦脊髓液的特徵，下列何者錯誤？,"{'A': 'A. 血液均勻分布於探檢的1、2、3管中', 'B': 'B. 檢體呈現凝固現象', 'C': 'C. 檢體離心後上清液呈現xanthochromia', 'D': 'D. 顯微鏡觀察到巨噬細胞吞噬紅血球'}",B,Q018.jpg
19,有關腦脊髓液白蛋白與血清白蛋白比值之敘述，下列何者正確？,"{'A': 'A. 比值升高與顱內合成相關', 'B': 'B. 比值降低與顱內合成相關', 'C': 'C. 比值升高與血腦屏障受損相關', 'D': 'D. 比值降低與血腦屏障受損相關'}",C,Q019.jpg
20,有關腦脊髓液葡萄糖含量之敘述，下列何者正確？,"{'A': 'A. 正常人不含葡萄糖', 'B': 'B. 細菌感染時會上升', 'C': 'C. 多發性硬化症會上升', 'D': 'D. 其值與血糖含量相關'}",D,Q020.jpg
21,下圖例中箭頭指示的中皮細胞主要為何種期型或特性？,"{'A': 'A. 靜止期', 'B': 'B. 反應期', 'C': 'C. 變性退化期', 'D': 'D. 癌變期'}",B,Q021.jpg
22,尿毒症產生的心包積水，通常為澄清的何種顏色？,"{'A': 'A. 黑色', 'B': 'B. 綠色', 'C': 'C. 紅色', 'D': 'D. 黃色'}",D,Q022.jpg
23,關於腹膜炎（peritoneal fluid）檢測的敘述，下列何者正確？,"{'A': 'A. 檢體中淋巴球占大多數，比率高於50%，可能是細菌性腹膜炎', 'B': 'B. 紅血球計數為100000個/dL，顯示極有可能是腹部內出血性創傷', 'C': 'C. 嗜酸性白血球數目增加，可能與長期腹膜透析有關', 'D': 'D. 自發性細菌性腹膜炎患者，其pH值低於7.15，表現後較佳'}",C,Q023.jpg
24,腹水在做細胞計數及分類時，採檢試管之內含物為何？,"{'A': 'A. 肝素（heparin）', 'B': 'B. EDTA', 'C': 'C. 不含抗凝劑', 'D': 'D. NaF'}",C,Q024.jpg
25,下列何者是構成滑膜炎具黏稠性的主要物質？,"{'A': 'A. 白蛋白', 'B': 'B. 鐵酸', 'C': 'C. 玻尿酸', 'D': 'D. 唾液酸'}",C,Q025.jpg
26,有關關節液鏡檢結果，下列何者不具病理意義？,"{'A': 'A. Calcium phosphate', 'B': 'B. Calcium pyrophosphate', 'C': 'C. Talcum powder', 'D': 'D. Calcium oxalate'}",C,Q026.jpg
27,正常精液不含下列何者？,"{'A': 'A. Flavin', 'B': 'B. Fructose', 'C': 'C. Ascorbic acid', 'D': 'D. Bilirubin'}",D,Q027.jpg
28,精液若以一般保險套運送時，下列何者是造成精蟲數量不變但活動性卻明顯降低的原因？,"{'A': 'A. 果糖降低', 'B': 'B. 殺精劑的作用', 'C': 'C. pH上升', 'D': 'D. 黏稠度增加'}",B,Q028.jpg
29,單次射精之精液果糖含量的低參考極限為多少μmol？,"{'A': 'A. 2', 'B': 'B. 5', 'C': 'C. 13', 'D': 'D. 20'}",C,Q029.jpg
30,有關懷孕時的激素檢測，下列敘述何者錯誤？,"{'A': 'A. 人類絨毛膜性腺激素（HCG）為早期檢測是否懷孕的良好指標', 'B': 'B. 雌脂三醇（estriol）在懷孕末期（28～40週）的濃度變化，可以協助診斷懷孕後期毒血症（preeclampsia）', 'C': 'C. 黃體酮（progesterone）在懷孕後，濃度持續增加', 'D': 'D. 甲狀腺素T4濃度變化，協助診斷子宮內成長延遲（intrauterine growth retardation IUGR）'}",D,Q030.jpg
31,下列那個蟲卵沒有卵塞（plug）？,"{'A': 'A. 鞭蟲（Trichuris trichiura）', 'B': 'B. 菲律賓毛細線蟲（Capillaria philippinensis）', 'C': 'C. 肝毛細線蟲（Capillaria hepatica）', 'D': 'D. 犬蛔蟲（Toxocara canis）'}",D,Q031.jpg
32,有關阿比亞維蟲（Trypanosoma brucei gambiense）與羅德西亞維蟲（Trypanosoma brucei rhodesiense）的比較，下列何者錯誤？,"{'A': 'A. 阿比亞維蟲主要在西非，羅德西亞維蟲主要在東非', 'B': 'B. 兩者都是靠采采蠅（tsetse fly）傳播', 'C': 'C. 都會造成非洲睡眠症（African sleeping sickness）', 'D': 'D. 阿比亞維蟲血液抹片中的錐鞭毛體（trypomastigote）呈現C型，羅德西亞維蟲血液抹片中的錐鞭毛體呈現S型'}",D,Q032.jpg
33,大腸纖毛蟲（Balantidium coli）的滋養體（trophozoite）經適當染色後鏡檢，其細胞質內最不容易看到下列何種特徵？,"{'A': 'A. 肝髓液泡（glycogen vacuoles）', 'B': 'B. 食泡（food vacuoles）', 'C': 'C. 伸縮泡（contractile vacuoles）', 'D': 'D. 大核和小核各1個'}",A,Q033.jpg
34,紅血球被瘧原蟲（Plasmodium spp.）感染後，紅血球內產生茂氏點（Maurer’s dot），是鑑別感染下列何者的參考根據？,"{'A': 'A. 惡性瘧原蟲（P. falciparum）', 'B': 'B. 三日癒原蟲（P. malariae）', 'C': 'C. 卵形癒原蟲（P. ovale）', 'D': 'D. 間日癒原蟲（P. vivax）'}",A,Q034.jpg
35,在幼稚園用玻璃膠紙為小朋友粘黏肛門周圍後作鏡檢，最容易看到下列何種蟲卵？,"{'A': 'A. 黃桿線蟲（Strongyloides stercoralis）', 'B': 'B. 菲律賓毛線蟲（Capillaria philippinensis）', 'C': 'C. 蟻蟲（Enterobius vermicularis）', 'D': 'D. 美洲鈎蟲（Necator americanus）'}",C,Q035.jpg
36,下列何種寄生蟲中，何者最有可能引起惡性貧血（pernicious anemia）？,"{'A': 'A. 橫川吸蟲（Metagonimus yokogawai）', 'B': 'B. 香貓肝吸蟲（Opisthorchis viverrini）', 'C': 'C. 縮小包膜條蟲（Hymenolepis diminuta）', 'D': 'D. 廣節裂頭條蟲（Diphyllobothrium latum）'}",D,Q036.jpg
37,Creola bodies常見於氣喘或咳嗽厲害的病患痰液中，其主要是由下列何者聚集成團狀？,"{'A': 'A. 基底支氣管上皮細胞', 'B': 'B. 柱狀纖毛支氣管上皮細胞', 'C': 'C. 肺泡巨噬細胞', 'D': 'D. 鱗狀上皮細胞'}",B,Q037.jpg
38,圖示為一尿沉渣檢體鏡檢結果，此檢體亦有檢測到卵圓脂肪小體（oval fat body），圖中箭頭處結晶體為何？,"{'A': 'A. 尿酸', 'B': 'B. 草酸鈣', 'C': 'C. 膽固醇', 'D': 'D. 胱胺酸'}",C,Q038.jpg
39,承上題，此檢體與下列何種尿液化學檢查項目的陽性最相關？,"{'A': 'A. 比重', 'B': 'B. 蛋白質', 'C': 'C. 葡萄糖', 'D': 'D. 亞硝酸鹽'}",B,Q039.jpg
40,有關腦脊髓液白血球計數，稀釋液含醋酸的功能為何？,"{'A': 'A. 染色血球核', 'B': 'B. 溶解紅血球', 'C': 'C. 染紅血球', 'D': 'D. 溶解白血球'}",B,Q040.jpg
41,對轉錄介導的擴增法（transcription-mediated amplification TMA）進行目標物的檢測，下列敘述何者最不適當？,"{'A': 'A. TMA無法檢測DNA的突變', 'B': 'B. 是單一溫度的指數據增反應', 'C': 'C. 擴增產物為RNA', 'D': 'D. 使用雜交探針進行偵測'}",A,Q041.jpg
42,下列DNA polymerase中，何者與真核細胞DNA複製無關？,"{'A': 'A. DNA polymerase α', 'B': 'B. DNA polymerase β', 'C': 'C. DNA polymerase δ', 'D': 'D. DNA polymerase ε'}",B,Q042.jpg
43,下列何者是intron之5' splice site、branch site 與 3' splice site的保留序列（consensus sequence）？,"{'A': ""A. 5'-AG----A----GU-3'"", 'B': ""B. 5'-GU----A----AG-3'"", 'C': ""C. 5'-AG----G----GU-3'"", 'D': ""D. 5'-GU----G----AC-3'""}",B,Q043.jpg
44,下列兩相鄰核苷酸，何者最不易被紫外線照射而產生光化學融合（photochemical fusion）？,"{'A': 'A. TT', 'B': 'B. AA', 'C': 'C. CC', 'D': 'D. TC'}",C,Q044.jpg
45,關於核酸分離技術的敘述，下列何者最不適當？,"{'A': 'A. liquid phase extraction是樣本分子在分層中藉由其不同的吸附作用，對樣本分子進行分離', 'B': 'B. solid phase size exclusion separation是一種藉由樣本分子大小不同，在基質（matrix）中以不同速度移動的分離技術', 'C': 'C. solid phase ion exchange chromatography利用樣本分子的表面帶電性之差異來進行分離', 'D': 'D. solid phase surface adsorption (or affinity chromatography)利用樣本分子間的親和性不同來進行分離'}",B,Q045.jpg
46,聚合酶連鎖反應（PCR）的擴增曲線由三個階段所組成，下列何者不在此三個階段中？,"{'A': 'A. exponential phase', 'B': 'B. elongation phase', 'C': 'C. linear phase', 'D': 'D. plateau phase'}",B,Q046.jpg
47,運用原位螢光雜交法（fluorescence in situ hybridization FISH），下列何種探針最不適用於檢測細胞遺傳學（cytogenetic analysis）？,"{'A': 'A. 基因座專一性探針（locus specific probes）', 'B': 'B. 粒線體探針（mitochondrion probes）', 'C': 'C. 著絲點探針（centromeric repeat probes）', 'D': 'D. 全染色體探針（whole chromosome probes）'}",B,Q047.jpg
48,DNA經重亞硫酸鈉處理，再轉換為鹼性環境後，未甲基化的胞嘧啶會轉換為何？,"{'A': 'A. 胞嘧啶', 'B': 'B. 胸腺嘧啶', 'C': 'C. 尿嘧啶', 'D': 'D. 5-甲基胞嘧啶'}",C,Q048.jpg
49,建構NGS文庫時，將DNA片段接上index或是bar code之最重要的目的為何？,"{'A': 'A. 增加序列讀長', 'B': 'B. 可以在一次定序反應中同時分析多個檢體的序列', 'C': 'C. 可以同時增幅多個DNA片段', 'D': 'D. 協助DNA片段固定在定序晶片上'}",B,Q049.jpg
50,利用解離曲線分析法（melting curve analysis）進行單一核苷酸多型性（single nucleotide polymorphism SNP）的檢測；下圖中的何種曲線是C/T異型合子（heterozygote）樣本的檢驗結果？,"{'A': 'A. 僅A、B曲線', 'B': 'B. 僅B、C曲線', 'C': 'C. 僅A、C曲線', 'D': 'D. A、B、C曲線'}",C,Q050.jpg
51,下列何種高通量基因定序平台，在文庫建構（library construction）之後，不需要用到聚合酶連鎖反應（polymerase chain reaction PCR）大量增幅（amplification）？,"{'A': 'A. MiSeq（Illumina）', 'B': 'B. iSeq（Illumina）', 'C': 'C. Sequel（PacBio）', 'D': 'D. Ion Torrent（ThermoFisher）'}",C,Q051.jpg
52,PCR反應中，primer決定了核酸放大的特異性，在設計primer時的考慮，下列何者最適當？,"{'A': 'A. primer的secondary structure會減少標的PCR產物合成的產量', 'B': 'B. 調整primer的長度，可改變primer annealing的溫度，溫度最好限制在40～50℃', 'C': ""C. primer本身的5'端和3'端形成互補時，會形成primer dimer"", 'D': ""D. primer的3'端可加上與模板非互補的序列，增加primer的應用性""}",A,Q052.jpg
53,關於增幅阻礙突變系統（ARMS）的敘述，下列何者最不適當？,"{'A': 'A. 是一種特異等位基因PCR（allele-specific PCR）偵測法', 'B': 'B. 可以偵測已知及未知的基因突變點', 'C': 'C. 通常需要經過膠體電泳分析', 'D': 'D. 內部控制組（internal control）的PCR產物需要比實驗組的PCR產物長'}",D,Q053.jpg
54,微陣列（microarray）生物晶片的製程可分成光引導原位合成法（light-directed synthesis）與點樣法（spotting），關於二者之敘述，下列何者最不適當？,"{'A': 'A. 點樣法的探針可以是尋核苷酸（oligonucleotide）探針或cDNA探針', 'B': 'B. 點樣法產生的晶片，其探針密度可達數十萬點／平方公分', 'C': 'C. 光引導原位合成法是以合成DNA探針為主', 'D': 'D. Taiwan Precision Medicine Initiative (TPMI) 採用的晶片是使用光引導原位合成法的製程'}",B,Q054.jpg
55,有關化學切割錯誤的鹼基（chemical cleavage of mismatch duplexes，CCM）檢驗方法，下列敘述何者最不適當？,"{'A': 'A. 可以有效偵測點突變（point mutation）', 'B': 'B. 由切割產生的片段大小可定位出突變點的位置', 'C': 'C. 利用一對具有螢光標示的引子（primers）進行PCR，將變異的與野生型的DNA片段放大', 'D': 'D. 可以使用非變性殘酷凝膠電泳（non-denaturing agarose gel electrophoresis）分析'}",D,Q055.jpg
56,檢測過敏原的晶片，固定在載體平台上的是：,"{'A': 'A. 過敏原物質', 'B': 'B. 病人的 IgG', 'C': 'C. 病人的 IgM', 'D': 'D. 病人的血漿'}",A,Q056.jpg
57,關於特異性寡核苷酸探針（sequence specific oligonucleotide probes，SSOP）進行HLA分型（typing）的敘述，下列何者最不適當？,"{'A': 'A. 無需先以PCR放大HLA基因，檢測流程簡單', 'B': 'B. 檢體來源通常是全血或唾液', 'C': 'C. 每個探針可以結合至數種以上的HLA等位基因', 'D': 'D. 可以檢測的等位基因有限，無法測到所有的等位基因'}",A,Q057.jpg
58,下列何者是親子鑑定技術的應用範圍？1.無名屍身分判定2.大麻（marijuana）之稱緣鑑定（kinship）3.臨床檢體混淆,"{'A': 'A. 僅12', 'B': 'B. 僅23', 'C': 'C. 僅14', 'D': 'D.123'}",D,Q058.jpg
59,關於PCR儀器的品管，下列何者最不適當？,"{'A': 'A. 至少一年檢測並校正一次溫度', 'B': 'B. 檢測溫度須涵蓋實驗所需的溫度', 'C': 'C. 檢測工具經工務室校正後，無需具有量測追溯性', 'D': 'D. 應該針對每個孔洞（well）進行溫度檢測'}",C,Q059.jpg
60,病人的EGFR基因經定序後，如何得知具有DNA突變或單一核苷酸變異？,"{'A': 'A. 使用blastn比對定序結果與EGFR標準基因序列', 'B': 'B. 使用blastp比對定序結果與EGFR標準基因序列', 'C': 'C. 使用blastx比對定序結果與EGFR標準基因序列', 'D': 'D. 使用tblastx比對定序結果與EGFR標準基因序列'}",A,Q060.jpg
61,下列何種核酸檢驗的空間與動線設計最具污染風險？,"{'A': 'A. 因空間限制，將「試劑配製區」與「檢體前處理區」設計在同一個空間，再使用laminar flow來區隔這兩區域', 'B': 'B. 「試劑配製區」設計在進風口處', 'C': 'C. 「核酸擴增（amplification）反應操作區」的空間是正壓設計', 'D': 'D. 核酸電泳槽與PCR儀器放在同一個作業空間'}",A,Q061.jpg
62,某實驗室擬定明年度的實驗室間比對方案，針對SARS-CoV-2 RNA有四個方案可以選擇，下列何者最適用於實驗室外部能力試驗？,"{'A': 'A. 提供SARS-CoV-2 whole genome RNA', 'B': 'B. 提供模擬人體鼻咽拭子的測試件', 'C': 'C. 提供過去保留的陽性病人檢體', 'D': 'D. 提供五份儀器測試報告，請實驗室判讀結果'}",B,Q062.jpg
63,關於分子實驗室的管理，下列何者最不適當？,"{'A': 'A. 需定期審查檢驗程序與樣本要求的適當性', 'B': 'B. 需定期執行風險鑑別與評鑑，即便有高度風險的因子，也無需導入預防措施', 'C': 'C. 分子檢驗多屬定性檢驗，仍須訂定品質指標監控其檢驗前、中、後的品質', 'D': 'D. 分子檢驗實驗室的報告內容通常多頁且複雜，若有修改報告，可在修改後的報告上說明，取代那一版本的報告'}",B,Q063.jpg
64,人類細胞純化的RNA跑膠後，須有兩條明顯的bands，代表該RNA的完整性，此兩條bands分別是：,"{'A': 'A. 8S rRNA、18S rRNA', 'B': 'B. 18S rRNA、28S rRNA', 'C': 'C. 28S rRNA、60S rRNA', 'D': 'D. 60S rRNA、80S rRNA'}",B,Q064.jpg
65,下列何種方法最不適用於病毒定量檢測？,"{'A': 'A. PCR-RFLP（restriction fragment length polymorphism）', 'B': 'B. real-time RT-qPCR（reverse transcription qPCR）', 'C': 'C. real-time PCR', 'D': 'D. transcription-mediated amplification assay (TMA)'}",A,Q065.jpg
66,抗生素與其在細菌之作用點的配對，下列何者最不適當？,"{'A': 'A. tetracyclin：30S ribosome', 'B': 'B. trimethoprim：dihydrofolate reductase', 'C': 'C. fluoroquinolones：topoisomerases', 'D': 'D. rifampin：DNA polymerase'}",D,Q066.jpg
67,下列何者不是16S rRNA適合應用於細菌分子定型的原因？,"{'A': 'A. 16S rRNA在大多數細菌中，具有高拷貝數（high copy number）', 'B': 'B. 16S rRNA的基因序列在不同種細菌間，具有10個高變異區', 'C': 'C. 16S rRNA的基因序列在同種間，具高保留性（highly conserved）', 'D': 'D. 16S rRNA具有最完整的標準序列（reference sequence）基因庫'}",B,Q067.jpg
68,運用reverse hybridization的核酸檢驗套組進行C型肝炎病毒的基因分型，其檢驗步驟由前至後順序，何者正確？1.特異性引子進行PCR擴增標的cDNA 2.擴增產物與基因型特異的寡核苷酸探針陣列進行雜交反應 3.RNA反轉錄成互補DNA 4.檢體製備 5.肉眼判讀C型肝炎病毒基因分型 6.進行呈色反應,"{'A': 'A. 412356', 'B': 'B. 413265', 'C': 'C. 431265', 'D': 'D. 314256'}",C,Q068.jpg
69,承上題，HCV基因分型判讀的型態表如下列圖一，病人檢體檢測C型肝炎病毒基因分型結果如下列圖二。本檢體之檢測結果為何？,"{'A': 'A. HCV基因型1', 'B': 'B. HCV基因型3', 'C': 'C. HCV基因型5', 'D': 'D. 偵測不到目標'}",A,Q069.jpg
70,關於唐氏症的敘述，下列何者最不適當？,"{'A': 'A. 測量懷孕21～25週母親之間邊血液甲型胎蛋白，再配合母親年齡與產出唐氏症的機率，求得其概率', 'B': 'B. 卵子在第一次減數分裂中期的不分離，造成第21號染色體三體（trisomy 21）者約70%', 'C': 'C. 超過34歲之孕婦，會先建議直接進行染色體核型分析', 'D': 'D. 唐氏症發生率約1／900～1／1000，沒有種族差異'}",A,Q070.jpg
71,下圖為一葡萄糖六磷酸去氫酶（G6PD）缺乏症（蠶豆症）家族的遺傳圖譜，「問號成員」應為：,"{'A': 'A. 正常男性', 'B': 'B. 罹病男性', 'C': 'C. 帶因男性', 'D': 'D. 帶因女性'}",D,Q071.jpg
72,下列哪一個分子檢驗技術最適合評估與檢測腫瘤突變負荷（tumor mutation burden）？,"{'A': 'A. 桑格定序法（Sanger sequencing）', 'B': 'B. 即時定量聚合酶連鎖反應（real-time qPCR）', 'C': 'C. 次世代定序（next-generation sequencing NGS）', 'D': 'D. 數位化聚合酶連鎖反應（digital PCR）'}",C,Q072.jpg
73,Irinotecan（抗癌妥）是目前腸胃道癌症常用的化療藥物，但會引起腹瀉與白血球異常等副作用，下列敘述何者最正確？,"{'A': 'A. 拓撲異構酶（topoisomerase）變異會引起上述的副作用', 'B': 'B. 散置重複序列（interspersed repeat）是導致相關基因發生變異的原因', 'C': 'C. UGTIAI（UDP glucuronosyltransferase 1 A1）酵素過度表現時，會減緩抗癌妥的代謝', 'D': 'D. UGTIAI（UDP glucuronosyltransferase 1 A1）酵素過度表現時，會減緩抗癌妥的代謝'}",D,Q073.jpg
74,在正常細胞中，下列何種基因的產物可被用來偵測核酸損傷或誘導細胞凋亡？,"{'A': 'A. 原型致癌基因（proto-oncogene）', 'B': 'B. 致癌基因（oncogene）', 'C': 'C. 抑癌基因（tumor suppressor gene）', 'D': 'D. 生長因子受體基因（growth factor receptor gene）'}",C,Q074.jpg
75,以PCR方法偵測急性淋巴芽球性白血病（acute lymphoblastic leukemia ALL）的微量殘存疾病（minimal residual disease MRD），下列敘述何者最不適當？,"{'A': 'A. 可以檢測白血病細胞所帶有的TCR或IG基因片段', 'B': 'B. ALL細胞之1 region序列在病人間的保留性高，故可據此設計探針', 'C': 'C. 可將ALL的細胞與不同量的正常細胞混合，做為半定量標準品', 'D': 'D. 可測得1/1000微量殘存白血病細胞'}",B,Q075.jpg
76,採用液態活檢游離DNA（cell-free DNA cfDNA）作為抗癌藥物伴隨式診斷（companion diagnostics）的檢體，下列敘述何者最不適當？,"{'A': 'A. 可使用cfDNA專用採血管，cfDNA保存效果較KpEDTA試管佳', 'B': 'B. 使用cfDNA專用採血管時，採完後必須儘速於4℃冷藏儲存或運送，避免cfDNA降解', 'C': 'C. cfDNA核酸萃取後還需要濃縮處理', 'D': 'D. cfDNA可適用於腫瘤多處轉移而不確定應取何處之檢體時'}",C,Q076.jpg
77,下列何種藥物的代謝速率最受CYP2CX基因多型性影響？,"{'A': 'A. allopurinol', 'B': 'B. warfarin', 'C': 'C. abacavir', 'D': 'D. carbamazepine'}",B,Q077.jpg
78,肺癌基因突變的伴隨式分子檢驗最常用在預測或評估下列何種治療的效果？,"{'A': 'A. 手術開刀治療', 'B': 'B. 化學藥物治療', 'C': 'C. 標靶藥物治療', 'D': 'D. 放射線治療'}",C,Q078.jpg
79,實體腫瘤常處於不穩定的狀態且異質性（heterogeneity）高，探索癌細胞未知的基因突變可以做為未來分子檢驗或藥物治療的標的。下列何種方法最適合檢測癌細胞未知的基因突變？,"{'A': 'A. 肽核酸聚合酶連鎖反應（PNA-PCR）', 'B': 'B. 增幅阻礙突變系統（ARMS）', 'C': 'C. 次世代定序（next-generation sequencing）', 'D': 'D. 次世代定序（next-generation sequencing）'}",C,Q079.jpg
80,下列何種基因變異與真性紅血球增多症（polycythemia vera）最有關？,"{'A': 'A. JAK2', 'B': 'B. KIT', 'C': 'C. FLT3', 'D': 'D. NPMI'}",A,Q080.jpg
