題號,題幹,選項A,選項B,選項C,選項D,正解,圖片檔名
2,顯微鏡為精密儀器，適當的清潔與維護是重要的。有關顯微鏡的清潔維護，下列何者錯誤？,A.清潔鏡頭只能用高品質的拭鏡紙及特定的清潔品,B.在任何情況下，鏡頭都不能使用酒精做擦拭,C.操作完畢後，浸油的鏡片要擦拭乾淨,D.顯微鏡不用時，應將低倍物鏡轉至觀察位置，載物台應移至中間,B,Q002.jpg
3,腎臟藉由下列何種作用以保存過濾液中的營養素？,A.過濾,B.再吸收,C.分泌,D.濃縮,B,Q003.jpg
4,關於尿試紙測尿糖原理的敘述，下列何者錯誤？,A. 尿試紙檢測的試劑含有葡萄糖還原酶，因此對葡萄糖有專一性,B. 結果以半定量呈現,C. 尿中維生素C大於50 mg/dL可造成偽陰性結果,D. 只能測葡萄糖,D,Q004.jpg
5,以Clinitesi錠劑法檢測尿糖時，下列敘述何者正確？,A. 過程需要用火加熱,B. 不需留意尿中是否有抗生素干擾反應結果,C. 靈敏度比尿試紙法差,D. 適用於檢測所有糖類,A,Q005.jpg
6,關於尿試紙上附有重氮鹽試劑之檢驗項目，下列組合何者正確？,A. 尿膽素原、亞硝酸鹽,B. 葡萄糖、酮體,C. 膽紅素、亞硝酸鹽,D. 膽紅素、白血球酯酶,C,Q006.jpg
7,下列何種尿試紙檢測項目主要是利用Ehrlich’s reaction的原理？,A. 蛋白質,B. 膽紅素,C. 尿膽素原,D. 亞硝酸鹽,C,Q007.jpg
8,下列何者常用來校正尿液稀釋或濃縮的狀態，以減少尿蛋白檢測的誤差？,A. 尿素,B. 氯化鈉,C. 肌酸酐,D. 比重,C,Q008.jpg
9,有關iQ200與UF-1000i自動化尿液分析儀器偵測尿液細胞之敘述，下列何者正確？,A. 二者皆需要染色,B. 二者皆不需要離心檢體,C. iQ200需要離心檢體，UF-1000i不需要離心檢體,D. iQ200需要染色，UF-1000i不需要染色,D,Q009.jpg
10,尿液檢體在室溫中放置過久，下列何種成分會減少？,A. 無定形磷酸鹽結晶,B. 細菌,C. 葡萄糖,D. 亞硝酸鹽,C,Q010.jpg
11,以尿液試紙法篩檢尿蛋白呈陽性後，需用下列何種檢驗方法再做確認診斷？,A. Benedict’s test,B. Nitroprusside test,C. Clinitest,D. 3% SSA test,D,Q011.jpg
12,人體每天大約有9000 mL的水分進入消化道，最後大腸再吸收；正常情況下大腸再吸收水分的最大量是多少mL？,A. 150,B. 500,C. 1500,D. 30,C,Q012.jpg
13,使用放射性同位素進行胃腸出血的定量，乃利用下列何者，故優於糞便的潛血試驗？,A. 鉻（chromium）-51,B. 鐵（ferric）-26,C. 碳（carbon）-14,D. 氧（oxygen）-18,A,Q013.jpg
14,有關糞便檢體採集的敘述，下列何者錯誤？,A. 檢體採集後，應該儘快送檢,B. 液態糞便如不能立即送檢，可冷藏置放，隔日送檢,C. 檢體不可以污染到尿液,D. 可添加固定液以助寄生蟲卵形態的檢查,B,Q014.jpg
15,糞便進行總脂肪鏡檢時，須加入下列何者後再加熱，可使中性脂肪及皂（soap）水解成脂肪酸？,A. Sudan III,B. 95% ethyl alcohol,C. 36% acetic acid,D. 1% sodium hydroxide,D,Q015.jpg
16,支氣管肺泡灌洗液進行白血球分類檢查，嗜中性白血球占50%以上與下列何者最不相關？,A. 過敏反應性肺炎,B. 急性肺損傷,C. 吸入性肺炎,D. 化膿性感染,A,Q016.jpg
17,下列何者為痰液的心臟衰竭細胞？,A. 含有血鐵質的口噬細胞,B. 含有碳粒的口噬細胞,C. 聚集成團的柱狀支氣管上皮細胞,D. 聚集成團的柱狀支氣管上皮細胞,A,Q017.jpg
18,有關顱內出血腦脊髓液的特徵，下列何者錯誤？,A. 血液均勻分布於探檢的1、2、3管中,B. 檢體呈現凝固現象,C. 檢體離心後上清液呈現xanthochromia,D. 顯微鏡觀察到巨噬細胞吞噬紅血球,B,Q018.jpg
19,有關腦脊髓液白蛋白與血清白蛋白比值之敘述，下列何者正確？,A. 比值升高與顱內合成相關,B. 比值降低與顱內合成相關,C. 比值升高與血腦屏障受損相關,D. 比值降低與血腦屏障受損相關,C,Q019.jpg
20,有關腦脊髓液葡萄糖含量之敘述，下列何者正確？,A. 正常人不含葡萄糖,B. 細菌感染時會上升,C. 多發性硬化症會上升,D. 其值與血糖含量相關,D,Q020.jpg
21,下圖例中箭頭指示的中皮細胞主要為何種期型或特性？,A. 靜止期,B. 反應期,C. 變性退化期,D. 癌變期,B,Q021.jpg
22,尿毒症產生的心包積水，通常為澄清的何種顏色？,A. 黑色,B. 綠色,C. 紅色,D. 黃色,D,Q022.jpg
23,關於腹膜炎（peritoneal fluid）檢測的敘述，下列何者正確？,A. 檢體中淋巴球占大多數，比率高於50%，可能是細菌性腹膜炎,B. 紅血球計數為100000個/dL，顯示極有可能是腹部內出血性創傷,C. 嗜酸性白血球數目增加，可能與長期腹膜透析有關,D. 自發性細菌性腹膜炎患者，其pH值低於7.15，表現後較佳,C,Q023.jpg
24,腹水在做細胞計數及分類時，採檢試管之內含物為何？,A. 肝素（heparin）,B. EDTA,C. 不含抗凝劑,D. NaF,C,Q024.jpg
25,下列何者是構成滑膜炎具黏稠性的主要物質？,A. 白蛋白,B. 鐵酸,C. 玻尿酸,D. 唾液酸,C,Q025.jpg
26,有關關節液鏡檢結果，下列何者不具病理意義？,A. Calcium phosphate,B. Calcium pyrophosphate,C. Talcum powder,D. Calcium oxalate,C,Q026.jpg
27,正常精液不含下列何者？,A. Flavin,B. Fructose,C. Ascorbic acid,D. Bilirubin,D,Q027.jpg
28,精液若以一般保險套運送時，下列何者是造成精蟲數量不變但活動性卻明顯降低的原因？,A. 果糖降低,B. 殺精劑的作用,C. pH上升,D. 黏稠度增加,B,Q028.jpg
29,單次射精之精液果糖含量的低參考極限為多少μmol？,A. 2,B. 5,C. 13,D. 20,C,Q029.jpg
30,有關懷孕時的激素檢測，下列敘述何者錯誤？,A. 人類絨毛膜性腺激素（HCG）為早期檢測是否懷孕的良好指標,B. 雌脂三醇（estriol）在懷孕末期（28～40週）的濃度變化，可以協助診斷懷孕後期毒血症（preeclampsia）,C. 黃體酮（progesterone）在懷孕後，濃度持續增加,D. 甲狀腺素T4濃度變化，協助診斷子宮內成長延遲（intrauterine growth retardation IUGR）,D,Q030.jpg
31,下列那個蟲卵沒有卵塞（plug）？,A. 鞭蟲（Trichuris trichiura）,B. 菲律賓毛細線蟲（Capillaria philippinensis）,C. 肝毛細線蟲（Capillaria hepatica）,D. 犬蛔蟲（Toxocara canis）,D,Q031.jpg
32,有關阿比亞維蟲（Trypanosoma brucei gambiense）與羅德西亞維蟲（Trypanosoma brucei rhodesiense）的比較，下列何者錯誤？,A. 阿比亞維蟲主要在西非，羅德西亞維蟲主要在東非,B. 兩者都是靠采采蠅（tsetse fly）傳播,C. 都會造成非洲睡眠症（African sleeping sickness）,D. 阿比亞維蟲血液抹片中的錐鞭毛體（trypomastigote）呈現C型，羅德西亞維蟲血液抹片中的錐鞭毛體呈現S型,D,Q032.jpg
33,大腸纖毛蟲（Balantidium coli）的滋養體（trophozoite）經適當染色後鏡檢，其細胞質內最不容易看到下列何種特徵？,A. 肝髓液泡（glycogen vacuoles）,B. 食泡（food vacuoles）,C. 伸縮泡（contractile vacuoles）,D. 大核和小核各1個,A,Q033.jpg
34,紅血球被瘧原蟲（Plasmodium spp.）感染後，紅血球內產生茂氏點（Maurer’s dot），是鑑別感染下列何者的參考根據？,A. 惡性瘧原蟲（P. falciparum）,B. 三日癒原蟲（P. malariae）,C. 卵形癒原蟲（P. ovale）,D. 間日癒原蟲（P. vivax）,A,Q034.jpg
35,在幼稚園用玻璃膠紙為小朋友粘黏肛門周圍後作鏡檢，最容易看到下列何種蟲卵？,A. 黃桿線蟲（Strongyloides stercoralis）,B. 菲律賓毛線蟲（Capillaria philippinensis）,C. 蟻蟲（Enterobius vermicularis）,D. 美洲鈎蟲（Necator americanus）,C,Q035.jpg
36,下列何種寄生蟲中，何者最有可能引起惡性貧血（pernicious anemia）？,A. 橫川吸蟲（Metagonimus yokogawai）,B. 香貓肝吸蟲（Opisthorchis viverrini）,C. 縮小包膜條蟲（Hymenolepis diminuta）,D. 廣節裂頭條蟲（Diphyllobothrium latum）,D,Q036.jpg
37,Creola bodies常見於氣喘或咳嗽厲害的病患痰液中，其主要是由下列何者聚集成團狀？,A. 基底支氣管上皮細胞,B. 柱狀纖毛支氣管上皮細胞,C. 肺泡巨噬細胞,D. 鱗狀上皮細胞,B,Q037.jpg
38,圖示為一尿沉渣檢體鏡檢結果，此檢體亦有檢測到卵圓脂肪小體（oval fat body），圖中箭頭處結晶體為何？,A. 尿酸,B. 草酸鈣,C. 膽固醇,D. 胱胺酸,C,Q038.jpg
39,承上題，此檢體與下列何種尿液化學檢查項目的陽性最相關？,A. 比重,B. 蛋白質,C. 葡萄糖,D. 亞硝酸鹽,B,Q039.jpg
40,有關腦脊髓液白血球計數，稀釋液含醋酸的功能為何？,A. 染色血球核,B. 溶解紅血球,C. 染紅血球,D. 溶解白血球,B,Q040.jpg
41,對轉錄介導的擴增法（transcription-mediated amplification TMA）進行目標物的檢測，下列敘述何者最不適當？,A. TMA無法檢測DNA的突變,B. 是單一溫度的指數據增反應,C. 擴增產物為RNA,D. 使用雜交探針進行偵測,A,Q041.jpg
42,下列DNA polymerase中，何者與真核細胞DNA複製無關？,A. DNA polymerase α,B. DNA polymerase β,C. DNA polymerase δ,D. DNA polymerase ε,B,Q042.jpg
43,下列何者是intron之5' splice site、branch site 與 3' splice site的保留序列（consensus sequence）？,A. 5'-AG----A----GU-3',B. 5'-GU----A----AG-3',C. 5'-AG----G----GU-3',D. 5'-GU----G----AC-3',B,Q043.jpg
44,下列兩相鄰核苷酸，何者最不易被紫外線照射而產生光化學融合（photochemical fusion）？,A. TT,B. AA,C. CC,D. TC,C,Q044.jpg
45,關於核酸分離技術的敘述，下列何者最不適當？,A. liquid phase extraction是樣本分子在分層中藉由其不同的吸附作用，對樣本分子進行分離,B. solid phase size exclusion separation是一種藉由樣本分子大小不同，在基質（matrix）中以不同速度移動的分離技術,C. solid phase ion exchange chromatography利用樣本分子的表面帶電性之差異來進行分離,D. solid phase surface adsorption (or affinity chromatography)利用樣本分子間的親和性不同來進行分離,B,Q045.jpg
46,聚合酶連鎖反應（PCR）的擴增曲線由三個階段所組成，下列何者不在此三個階段中？,A. exponential phase,B. elongation phase,C. linear phase,D. plateau phase,B,Q046.jpg
47,運用原位螢光雜交法（fluorescence in situ hybridization FISH），下列何種探針最不適用於檢測細胞遺傳學（cytogenetic analysis）？,A. 基因座專一性探針（locus specific probes）,B. 粒線體探針（mitochondrion probes）,C. 著絲點探針（centromeric repeat probes）,D. 全染色體探針（whole chromosome probes）,B,Q047.jpg
48,DNA經重亞硫酸鈉處理，再轉換為鹼性環境後，未甲基化的胞嘧啶會轉換為何？,A. 胞嘧啶,B. 胸腺嘧啶,C. 尿嘧啶,D. 5-甲基胞嘧啶,C,Q048.jpg
49,建構NGS文庫時，將DNA片段接上index或是bar code之最重要的目的為何？,A. 增加序列讀長,B. 可以在一次定序反應中同時分析多個檢體的序列,C. 可以同時增幅多個DNA片段,D. 協助DNA片段固定在定序晶片上,B,Q049.jpg
50,利用解離曲線分析法（melting curve analysis）進行單一核苷酸多型性（single nucleotide polymorphism SNP）的檢測；下圖中的何種曲線是C/T異型合子（heterozygote）樣本的檢驗結果？,A. 僅A、B曲線,B. 僅B、C曲線,C. 僅A、C曲線,D. A、B、C曲線,C,Q050.jpg
51,下列何種高通量基因定序平台，在文庫建構（library construction）之後，不需要用到聚合酶連鎖反應（polymerase chain reaction PCR）大量增幅（amplification）？,A. MiSeq（Illumina）,B. iSeq（Illumina）,C. Sequel（PacBio）,D. Ion Torrent（ThermoFisher）,C,Q051.jpg
52,PCR反應中，primer決定了核酸放大的特異性，在設計primer時的考慮，下列何者最適當？,A. primer的secondary structure會減少標的PCR產物合成的產量,B. 調整primer的長度，可改變primer annealing的溫度，溫度最好限制在40～50℃,C. primer本身的5'端和3'端形成互補時，會形成primer dimer,D. primer的3'端可加上與模板非互補的序列，增加primer的應用性,A,Q052.jpg
53,關於增幅阻礙突變系統（ARMS）的敘述，下列何者最不適當？,A. 是一種特異等位基因PCR（allele-specific PCR）偵測法,B. 可以偵測已知及未知的基因突變點,C. 通常需要經過膠體電泳分析,D. 內部控制組（internal control）的PCR產物需要比實驗組的PCR產物長,D,Q053.jpg
54,微陣列（microarray）生物晶片的製程可分成光引導原位合成法（light-directed synthesis）與點樣法（spotting），關於二者之敘述，下列何者最不適當？,A. 點樣法的探針可以是尋核苷酸（oligonucleotide）探針或cDNA探針,B. 點樣法產生的晶片，其探針密度可達數十萬點／平方公分,C. 光引導原位合成法是以合成DNA探針為主,D. Taiwan Precision Medicine Initiative (TPMI) 採用的晶片是使用光引導原位合成法的製程,B,Q054.jpg
55,有關化學切割錯誤的鹼基（chemical cleavage of mismatch duplexes，CCM）檢驗方法，下列敘述何者最不適當？,A. 可以有效偵測點突變（point mutation）,B. 由切割產生的片段大小可定位出突變點的位置,C. 利用一對具有螢光標示的引子（primers）進行PCR，將變異的與野生型的DNA片段放大,D. 可以使用非變性殘酷凝膠電泳（non-denaturing agarose gel electrophoresis）分析,D,Q055.jpg
56,檢測過敏原的晶片，固定在載體平台上的是：,A. 過敏原物質,B. 病人的 IgG,C. 病人的 IgM,D. 病人的血漿,A,Q056.jpg
57,關於特異性寡核苷酸探針（sequence specific oligonucleotide probes，SSOP）進行HLA分型（typing）的敘述，下列何者最不適當？,A. 無需先以PCR放大HLA基因，檢測流程簡單,B. 檢體來源通常是全血或唾液,C. 每個探針可以結合至數種以上的HLA等位基因,D. 可以檢測的等位基因有限，無法測到所有的等位基因,A,Q057.jpg
58,下列何者是親子鑑定技術的應用範圍？1.無名屍身分判定2.大麻（marijuana）之稱緣鑑定（kinship）3.臨床檢體混淆,A. 僅12,B. 僅23,C. 僅14,D.123,D,Q058.jpg
59,關於PCR儀器的品管，下列何者最不適當？,A. 至少一年檢測並校正一次溫度,B. 檢測溫度須涵蓋實驗所需的溫度,C. 檢測工具經工務室校正後，無需具有量測追溯性,D. 應該針對每個孔洞（well）進行溫度檢測,C,Q059.jpg
60,病人的EGFR基因經定序後，如何得知具有DNA突變或單一核苷酸變異？,A. 使用blastn比對定序結果與EGFR標準基因序列,B. 使用blastp比對定序結果與EGFR標準基因序列,C. 使用blastx比對定序結果與EGFR標準基因序列,D. 使用tblastx比對定序結果與EGFR標準基因序列,A,Q060.jpg
61,下列何種核酸檢驗的空間與動線設計最具污染風險？,A. 因空間限制，將「試劑配製區」與「檢體前處理區」設計在同一個空間，再使用laminar flow來區隔這兩區域,B. 「試劑配製區」設計在進風口處,C. 「核酸擴增（amplification）反應操作區」的空間是正壓設計,D. 核酸電泳槽與PCR儀器放在同一個作業空間,A,Q061.jpg
62,某實驗室擬定明年度的實驗室間比對方案，針對SARS-CoV-2 RNA有四個方案可以選擇，下列何者最適用於實驗室外部能力試驗？,A. 提供SARS-CoV-2 whole genome RNA,B. 提供模擬人體鼻咽拭子的測試件,C. 提供過去保留的陽性病人檢體,D. 提供五份儀器測試報告，請實驗室判讀結果,B,Q062.jpg
63,關於分子實驗室的管理，下列何者最不適當？,A. 需定期審查檢驗程序與樣本要求的適當性,B. 需定期執行風險鑑別與評鑑，即便有高度風險的因子，也無需導入預防措施,C. 分子檢驗多屬定性檢驗，仍須訂定品質指標監控其檢驗前、中、後的品質,D. 分子檢驗實驗室的報告內容通常多頁且複雜，若有修改報告，可在修改後的報告上說明，取代那一版本的報告,B,Q063.jpg
64,人類細胞純化的RNA跑膠後，須有兩條明顯的bands，代表該RNA的完整性，此兩條bands分別是：,A. 8S rRNA、18S rRNA,B. 18S rRNA、28S rRNA,C. 28S rRNA、60S rRNA,D. 60S rRNA、80S rRNA,B,Q064.jpg
65,下列何種方法最不適用於病毒定量檢測？,A. PCR-RFLP（restriction fragment length polymorphism）,B. real-time RT-qPCR（reverse transcription qPCR）,C. real-time PCR,D. transcription-mediated amplification assay (TMA),A,Q065.jpg
66,抗生素與其在細菌之作用點的配對，下列何者最不適當？,A. tetracyclin：30S ribosome,B. trimethoprim：dihydrofolate reductase,C. fluoroquinolones：topoisomerases,D. rifampin：DNA polymerase,D,Q066.jpg
67,下列何者不是16S rRNA適合應用於細菌分子定型的原因？,A. 16S rRNA在大多數細菌中，具有高拷貝數（high copy number）,B. 16S rRNA的基因序列在不同種細菌間，具有10個高變異區,C. 16S rRNA的基因序列在同種間，具高保留性（highly conserved）,D. 16S rRNA具有最完整的標準序列（reference sequence）基因庫,B,Q067.jpg
68,運用reverse hybridization的核酸檢驗套組進行C型肝炎病毒的基因分型，其檢驗步驟由前至後順序，何者正確？1.特異性引子進行PCR擴增標的cDNA 2.擴增產物與基因型特異的寡核苷酸探針陣列進行雜交反應 3.RNA反轉錄成互補DNA 4.檢體製備 5.肉眼判讀C型肝炎病毒基因分型 6.進行呈色反應,A. 412356,B. 413265,C. 431265,D. 314256,C,Q068.jpg
69,承上題，HCV基因分型判讀的型態表如下列圖一，病人檢體檢測C型肝炎病毒基因分型結果如下列圖二。本檢體之檢測結果為何？,A. HCV基因型1,B. HCV基因型3,C. HCV基因型5,D. 偵測不到目標,A,Q069.jpg
70,關於唐氏症的敘述，下列何者最不適當？,A. 測量懷孕21～25週母親之間邊血液甲型胎蛋白，再配合母親年齡與產出唐氏症的機率，求得其概率,B. 卵子在第一次減數分裂中期的不分離，造成第21號染色體三體（trisomy 21）者約70%,C. 超過34歲之孕婦，會先建議直接進行染色體核型分析,D. 唐氏症發生率約1／900～1／1000，沒有種族差異,A,Q070.jpg
71,下圖為一葡萄糖六磷酸去氫酶（G6PD）缺乏症（蠶豆症）家族的遺傳圖譜，「問號成員」應為：,A. 正常男性,B. 罹病男性,C. 帶因男性,D. 帶因女性,D,Q071.jpg
72,下列哪一個分子檢驗技術最適合評估與檢測腫瘤突變負荷（tumor mutation burden）？,A. 桑格定序法（Sanger sequencing）,B. 即時定量聚合酶連鎖反應（real-time qPCR）,C. 次世代定序（next-generation sequencing NGS）,D. 數位化聚合酶連鎖反應（digital PCR）,C,Q072.jpg
73,Irinotecan（抗癌妥）是目前腸胃道癌症常用的化療藥物，但會引起腹瀉與白血球異常等副作用，下列敘述何者最正確？,A. 拓撲異構酶（topoisomerase）變異會引起上述的副作用,B. 散置重複序列（interspersed repeat）是導致相關基因發生變異的原因,C. UGTIAI（UDP glucuronosyltransferase 1 A1）酵素過度表現時，會減緩抗癌妥的代謝,D. UGTIAI（UDP glucuronosyltransferase 1 A1）酵素過度表現時，會減緩抗癌妥的代謝,D,Q073.jpg
74,在正常細胞中，下列何種基因的產物可被用來偵測核酸損傷或誘導細胞凋亡？,A. 原型致癌基因（proto-oncogene）,B. 致癌基因（oncogene）,C. 抑癌基因（tumor suppressor gene）,D. 生長因子受體基因（growth factor receptor gene）,C,Q074.jpg
75,以PCR方法偵測急性淋巴芽球性白血病（acute lymphoblastic leukemia ALL）的微量殘存疾病（minimal residual disease MRD），下列敘述何者最不適當？,A. 可以檢測白血病細胞所帶有的TCR或IG基因片段,B. ALL細胞之1 region序列在病人間的保留性高，故可據此設計探針,C. 可將ALL的細胞與不同量的正常細胞混合，做為半定量標準品,D. 可測得1/1000微量殘存白血病細胞,B,Q075.jpg
76,採用液態活檢游離DNA（cell-free DNA cfDNA）作為抗癌藥物伴隨式診斷（companion diagnostics）的檢體，下列敘述何者最不適當？,A. 可使用cfDNA專用採血管，cfDNA保存效果較KpEDTA試管佳,B. 使用cfDNA專用採血管時，採完後必須儘速於4℃冷藏儲存或運送，避免cfDNA降解,C. cfDNA核酸萃取後還需要濃縮處理,D. cfDNA可適用於腫瘤多處轉移而不確定應取何處之檢體時,C,Q076.jpg
77,下列何種藥物的代謝速率最受CYP2CX基因多型性影響？,A. allopurinol,B. warfarin,C. abacavir,D. carbamazepine,B,Q077.jpg
78,肺癌基因突變的伴隨式分子檢驗最常用在預測或評估下列何種治療的效果？,A. 手術開刀治療,B. 化學藥物治療,C. 標靶藥物治療,D. 放射線治療,C,Q078.jpg
79,實體腫瘤常處於不穩定的狀態且異質性（heterogeneity）高，探索癌細胞未知的基因突變可以做為未來分子檢驗或藥物治療的標的。下列何種方法最適合檢測癌細胞未知的基因突變？,A. 肽核酸聚合酶連鎖反應（PNA-PCR）,B. 增幅阻礙突變系統（ARMS）,C. 次世代定序（next-generation sequencing）,D. 次世代定序（next-generation sequencing）,C,Q079.jpg
80,下列何種基因變異與真性紅血球增多症（polycythemia vera）最有關？,A. JAK2,B. KIT,C. FLT3,D. NPMI,A,Q080.jpg
